Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 15:47:34 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_16_20220624163350_42/ (292.1 KB, 1434d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_170_20211018182647/ (329.0 MB, 1683d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_170_20211018182647_166/ (329.0 MB, 1683d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_171_20211019133547/ (318.4 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_171_20211019133547_167/ (318.4 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_172_20211019140944/ (329.1 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_172_20211019140944_168/ (329.1 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_173_20211019142915/ (367.0 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_173_20211019142915_169/ (367.0 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_174_20211019171546/ (336.0 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_174_20211019171546_170/ (336.0 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_175_20211019174835/ (420.2 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_175_20211019174835_171/ (420.2 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_176_20211019193821/ (239.7 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_176_20211019193821_172/ (239.7 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_177_20211019195047/ (142.9 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_177_20211019195047_173/ (142.9 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_178_20211019202301/ (317.5 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_178_20211019202301_174/ (317.5 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_179_20211019205049/ (282.4 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_179_20211019205049_175/ (282.4 MB, 1682d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_17_20210728193914/ (4.9 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_17_20210728193914_16/ (4.9 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_17_20211206182724/ (10.5 MB, 1634d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_17_20220225155938/ (141.3 KB, 1553d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_17_20220225155938_15/ (141.3 KB, 1553d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_17_20220420123824_13/ (11.3 MB, 1499d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_17_20220708170918_51/ (9.8 MB, 1420d old)
